% Model:              Luke_electric_field_simulation_V2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 11 2024, 22:31
% Dimension:          3
% Nodes:              5305
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
-37.24710190775996        -2.289432326211112       0                        2.4253192047278085E-12
-35.90955728563348        -2.9423720121059027      0                        -4.244308608273665E-12
-34.73455922829535        -2.1588817135086864      0                        -1.2126596023639042E-12
-35.99517973715295        -1.4878631477114586      0                        -1.8189894035458565E-12
-36.91822425897233        -5.291347100564219       0                        6.6696278130014735E-12
-35.79460215329888        -4.42664574419014        0                        -1.2126596023639042E-12
-34.60353701138979        -3.5523660119405136      0                        4.850638409455617E-12
-34.452155733589514       -4.988132719594043       0                        4.850638409455617E-12
-24.306212151784827       -17.740050118603147      0                        -5.096959891185786E-12
-23.702955890347244       -16.849784003205315      0                        7.275957614183426E-13
-23.13552417519608        -17.769523376792304      0                        7.181218582748746E-12
-22.47427984026585        -18.82104502407995       0                        -6.518045362705986E-12
-21.71132110079032        -19.89032374698424       0                        -4.054830545404305E-12
-21.253208788222473       -20.860971016470057      0                        0
-21.218603530303856       -18.59271188692538       0                        -9.019155792581538E-12
-21.918890054807594       -17.562737856511095      0                        8.640199666842818E-12
-18.78436168379905        -28.84270062247996       0                        6.6696278130014735E-12
-18.795941935838336       -27.457110170549         0                        4.850638409455617E-12
-20.019765267031897       -26.68354322707756       0                        2.7284841053187847E-12
-19.71192713905597        -25.19943177039427       0                        -8.315380130495343E-12
-18.963136302770057       -26.27960176026766       0                        7.821654435247183E-12
-18.52053803740688        -25.461552494397793      0                        -9.458744898438454E-12
-20.907252227925515       -24.36169523443664       0                        -1.2126596023639042E-12
-18.246332051900296       -36.62876064686025       5.204170427930421E-17    -2622.155488814752
-18.205604219093146       -36.64986084706116       1.214306433183765E-16    -2286.379340713718
-15.150040524501199       -38.28832690071279       0                        -2083.1157884359736
-18.234249420275134       -36.65128454658947       6.938893903907228E-18    -2294.36239579152
-14.221002866926082       -34.27165820155985       0                        -5.4569682106375694E-12
-15.776341757671629       -33.577896740207535      0                        -3.3348139065007367E-12
-12.735075627506694       -34.90762192204349       0                        -2.4253192047278085E-12
-14.454371337695145       -32.67076527131551       0                        -4.244308608273665E-12
-12.949138103027183       -33.38201855671884       0                        2.1221543041368327E-12
-11.114506776315213       -35.483982831799906      0                        -2.4253192047278085E-12
-17.315259008298206       -32.79672653003773       0                        -9.094947017729282E-13
-15.980680914051748       -31.909347989857313      0                        6.063298011819522E-12
-17.474117294679612       -29.578757612972353      0                        -6.063298011819522E-12
-17.45131982535885        -31.129897358645955      0                        0
-16.068237441087014       -30.328714115081986      0                        2.4253192047278085E-12
-14.62271992714424        -31.04081004296703       0                        1.2126596023639042E-12
-14.762942816859876       -29.48760605652368       0                        1.5158245029548805E-11
-17.64771024909964        -26.408868517070527      0                        -4.287617879786662E-12
-17.53786923696092        -28.006940078525684      0                        1.2126596023639042E-12
-37.65692962626886        -16.288382064635087      0                        -5121.767131698559
-38.20275841772442        -15.392605660621538      2.7755575615628914E-17   -4887.198946893798
